lga_code,lda_name,year,population
54620,Kondinin,2016,870
54690,Koorda,2016,408
54760,Kulin,2016,774
54830,Kwinana,2016,43496
54900,Lake Grace,2016,1281
54970,Laverton,2016,1206
55040,Leonora,2016,1529
55110,Mandurah,2016,85281
55180,Manjimup,2016,9159
55250,Meekatharra,2016,1008
55320,Melville,2016,101897
55390,Menzies,2016,521
55460,Merredin,2016,3409
55530,Mingenew,2016,432
55600,Moora,2016,2425
55670,Morawa,2016,698
55740,Mosman Park,2016,9062
55810,Mount Magnet,2016,464
55880,Mount Marshall,2016,518
55950,Mukinbudin,2016,531
56090,Mundaring,2016,39131
56160,Murchison,2016,162
56230,Murray,2016,17650
56300,Nannup,2016,1363
56370,Narembeen,2016,837
56460,Narrogin,2016,5039
56580,Nedlands,2016,22534
56620,Ngaanyatjarraku,2016,1747
56730,Northam,2016,11188
56790,Northampton,2016,3077
56860,Nungarin,2016,247
56930,Peppermint Grove,2016,1720
57000,Perenjori,2016,596
57080,Perth,2016,27720
57140,Pingelly,2016,1152
57210,Plantagenet,2016,5249
57280,Port Hedland,2016,14971
57350,Quairading,2016,1007
57420,Ravensthorpe,2016,1598
57490,Rockingham,2016,133352
57630,Sandstone,2016,81
57700,Serpentine-Jarrahdale,2016,30927
57770,Shark Bay,2016,946
57840,South Perth,2016,43523
57910,Stirling,2016,220135
57980,Subiaco,2016,17093
58050,Swan,2016,143333
58190,Tammin,2016,401
58260,Three Springs,2016,591
58330,Toodyay,2016,4427
58400,Trayning,2016,348
58470,Upper Gascoyne,2016,279
58510,Victoria Park,2016,36568
58540,Victoria Plains,2016,934
58570,Vincent,2016,36058
58610,Wagin,2016,1824
58680,Wandering,2016,431
58760,Wanneroo,2016,203609
58820,Waroona,2016,4169
58890,West Arthur,2016,798
59030,Westonia,2016,302
59100,Wickepin,2016,730
59170,Williams,2016,1024
59250,Wiluna,2016,706
59310,Wongan-Ballidu,2016,1299
59320,Woodanilling,2016,428
59330,Wyalkatchem,2016,498
59340,Wyndham-East Kimberley,2016,7315
59350,Yalgoo,2016,357
59360,Yilgarn,2016,1169
59370,York,2016,3591
60210,Break O`Day,2016,6231
60410,Brighton,2016,17289
60610,Burnie,2016,19344
60810,Central Coast,2016,21902
61010,Central Highlands,2016,2144
61210,Circular Head,2016,8066
61410,Clarence,2016,56945
61510,Derwent Valley,2016,10287
61610,Devonport,2016,25413
61810,Dorset,2016,6652
62010,Flinders,2016,987
62210,George Town,2016,6932
62410,Glamorgan-Spring Bay,2016,4529
62610,Glenorchy,2016,47645
62810,Hobart,2016,53766
63010,Huon Valley,2016,17221
63210,Kentish,2016,6324
63410,King Island,2016,1601
63610,Kingborough,2016,37738
63810,Latrobe,2016,11328
64010,Launceston,2016,67473
64210,Meander Valley,2016,19713
64610,Northern Midlands,2016,13299
64810,Sorell,2016,15216
65010,Southern Midlands,2016,6117
65210,Tasman,2016,2404
65410,Waratah-Wynyard,2016,13797
65610,West Coast,2016,4166
65810,West Tamar,2016,23769
70200,Alice Springs,2016,26502
70420,Barkly,2016,7384
70540,Belyuen,2016,174
70620,Central Desert,2016,4204
70700,Coomalie,2016,1390
71000,Darwin,2016,84500
71300,East Arnhem,2016,10336
72200,Katherine,2016,10610
72300,Litchfield,2016,25583
72330,MacDonnell,2016,6857
72800,Palmerston,2016,37818
73600,Roper Gulf,2016,7392
74050,Tiwi Islands,2016,2750
74550,Victoria Daly,2016,3135
74560,Wagait,2016,508
74660,West Arnhem,2016,6896
74680,West Daly,2016,3646
79399,Unincorporated NT,2016,7373
10250,Ballina,2018,44628
10300,Balranald,2018,2338
10470,Bathurst Regional,2018,43618
10500,Bayside,2018,178396
10550,Bega Valley,2018,34476
10600,Bellingen,2018,12996
10650,Berrigan,2018,8750
10750,Blacktown,2018,374451
10800,Bland,2018,5972
10850,Blayney,2018,7379
10900,Blue Mountains,2018,79118
10950,Bogan,2018,2580
11150,Bourke,2018,2590
11200,Brewarrina,2018,1611
11250,Broken Hill,2018,17479
11300,Burwood,2018,40612
11350,Byron,2018,35081
11400,Cabonne,2018,13634
11450,Camden,2018,101437
11500,Campbelltown,2018,170943
11520,Canada Bay,2018,96074
11570,Canterbury-Bankstown,2018,377917
11600,Carrathool,2018,2799
11650,Central Coast,2018,343968
11700,Central Darling,2018,1839
11720,Cessnock,2018,59985
11730,Clarence Valley,2018,51662
11750,Cobar,2018,4658
11800,Coffs Harbour,2018,77277
12000,Coolamon,2018,4341
12150,Coonamble,2018,3958
12160,Cootamundra-Gundagai Regional,2018,11235
12350,Cowra,2018,12743
12380,Cumberland,2018,241521
12390,Dubbo Regional,2018,53719
12700,Dungog,2018,9423
12730,Edward River,2018,9084
12750,Eurobodalla,2018,38473
12850,Fairfield,2018,211695
12870,Federation,2018,12437
12900,Forbes,2018,9906
12930,Georges River,2018,159471
12950,Gilgandra,2018,4239
13010,Glen Innes Severn,2018,8871
13310,Goulburn Mulwaree,2018,31132
13340,Greater Hume Shire,2018,10764
13450,Griffith,2018,27029
13550,Gunnedah,2018,12681
13660,Gwydir,2018,5353
13800,Hawkesbury,2018,67296
13850,Hay,2018,2949
13910,Hilltops,2018,18704
14000,Hornsby,2018,152059
14100,Hunters Hill,2018,14980
14170,Inner West,2018,200811
14200,Inverell,2018,16890
14300,Junee,2018,6683
14350,Kempsey,2018,29745
14400,Kiama,2018,23386
14500,Ku-ring-gai,2018,127153
14550,Kyogle,2018,8796
14600,Lachlan,2018,6075
14650,Lake Macquarie,2018,205901
14700,Lane Cove,2018,40155
14750,Leeton,2018,11445
14850,Lismore,2018,43692
14870,Lithgow,2018,21605
14900,Liverpool,2018,227585
14920,Liverpool Plains,2018,7903
14950,Lockhart,2018,3285
15050,Maitland,2018,85166
15240,Mid-Coast,2018,93836
15270,Mid-Western Regional,2018,25251
15300,Moree Plains,2018,13261
15350,Mosman,2018,30981
15520,Murray River,2018,12118
15560,Murrumbidgee,2018,3917
15650,Muswellbrook,2018,16377
15700,Nambucca,2018,19805
15750,Narrabri,2018,13135
15800,Narrandera,2018,5899
15850,Narromine,2018,6517
15900,Newcastle,2018,165571
15950,North Sydney,2018,75021
15990,Northern Beaches,2018,273499
16100,Oberon,2018,5411
16150,Orange,2018,42451
16200,Parkes,2018,14837
16260,Parramatta,2018,257197
16350,Penrith,2018,212977
16380,Port Macquarie-Hastings,2018,84525
16400,Port Stephens,2018,73481
16490,Queanbeyan-Palerang Regional,2018,61100
16550,Randwick,2018,155649
16610,Richmond Valley,2018,23465
16700,Ryde,2018,131271
16900,Shellharbour,2018,73233
16950,Shoalhaven,2018,105648
17000,Singleton,2018,23461
17040,Snowy Monaro Regional,2018,20795
17080,Snowy Valleys,2018,14479
17100,Strathfield,2018,46926
17150,Sutherland Shire,2018,230611
17200,Sydney,2018,246343
17310,Tamworth Regional,2018,62541
17350,Temora,2018,6307
17400,Tenterfield,2018,6594
17420,The Hills Shire,2018,177969
17550,Tweed,2018,97001
17620,Upper Hunter Shire,2018,14180
17640,Upper Lachlan Shire,2018,8059
17650,Uralla,2018,6012
17750,Wagga Wagga,2018,65258
17850,Walcha,2018,3134
17900,Walgett,2018,5953
17950,Warren,2018,2697
18020,Warrumbungle Shire,2018,9278
18050,Waverley,2018,74295
18100,Weddin,2018,3613
18200,Wentworth,2018,7053
18250,Willoughby,2018,81189
18350,Wingecarribee,2018,51134
18400,Wollondilly,2018,53149
18450,Wollongong,2018,218114
18500,Woollahra,2018,59387
18710,Yass Valley,2018,17087
19399,Unincorporated NSW,2018,1026
20110,Alpine,2018,12814
20260,Ararat,2018,11845
20570,Ballarat,2018,109505
20660,Banyule,2018,131631
20740,Bass Coast,2018,36320
20830,Baw Baw,2018,53396
20910,Bayside,2018,106862
21010,Benalla,2018,14037
21110,Boroondara,2018,183199
21180,Brimbank,2018,209523
21270,Buloke,2018,6124
21370,Campaspe,2018,37622
21450,Cardinia,2018,112159
21610,Casey,2018,353872
21670,Central Goldfields,2018,13186
21750,Colac-Otway,2018,21564
21830,Corangamite,2018,16020
21890,Darebin,2018,164184
22110,East Gippsland,2018,47316
22170,Frankston,2018,142643
22250,Gannawarra,2018,10472
22310,Glen Eira,2018,156511
22410,Glenelg,2018,19674
